Mixture	Macrophages	Epithelial_1	T cell	Mesenchymal	Endothelial	Epithelial_2	CAFs	Dendritic	Epithelial_3	P-value	Correlation	RMSE
TCGA-25-2409-01A	0.0543578322609181	0.704292939205762	0	0.0375189843773312	0.0111040002377281	0	0.0955194012441369	0	0.0972068426741236	0	0.560519104718439	0.839272070588879
TCGA-13-1489-01A	0.0146956493303273	0.812350492157362	0	0.0303232303974011	0.00506035045783094	0.0454706024408663	0	0.00811151910233868	0.0839881561138733	0.002	0.318541399323746	0.953328318997968
TCGA-13-0891-01A	0.0315246030350815	0.843327165748165	0	0.015111722070176	0.0183928278916079	0.0036081665182255	0.00420785749239686	0	0.0838276572443472	0	0.395162220473062	0.919635472567037
TCGA-61-2098-01A	0	0.492178002693244	0	0.238543207187021	0	0.0238656143336322	0	0	0.245413175786103	0	0.522878836366526	0.8575483881981
TCGA-13-1404-01A	0.0692341399016277	0.547663560476136	0	0.0655317286923823	0.0159959655709215	0.00588379800420411	0.175058503482316	0.0434078222746992	0.0772244815977134	0	0.436874070829142	0.902062797184109
TCGA-04-1341-01A	0.0172737039275271	0.792759227967455	0	0.0266092075696272	0	0	0.0493408797525328	0	0.114016980782858	0	0.417003265843518	0.909547601181246
TCGA-04-1361-01A	0.0620464672063579	0.51227371275318	0	0.184852449239094	0.019949603335615	0.00623832476316812	0.0108474234560075	0.0021903164337732	0.201601702812804	0	0.500055191826551	0.870407264485938
TCGA-24-2290-01A	0.121927928904196	0.664341031724421	0	0.00721057809422655	0.0101497750497518	0	0.0332341485394168	0	0.163136537687988	0	0.575164603336945	0.83392156449072
TCGA-23-1123-01A	0.108531721603691	0.758599300692472	0	0.0496056318593815	0.0298233444733104	0	0	0.0249034756240781	0.0285365257470666	0	0.480346750943663	0.880102927308576
TCGA-24-1428-01A	0.165244633213369	0.680738526274351	0	0.0349299340335638	0.00186795060248502	0	0.0101236114327814	0	0.107095344443449	0	0.61902131894801	0.809779927767526
TCGA-24-1474-01A	0.172460778331692	0.668306010256214	0	0.0647117381198876	0.0267244119720086	0	0	0.010071630450092	0.0577254308701062	0	0.444108644954511	0.896601635983169
TCGA-04-1530-01A	0.11409594087022	0.495207563641029	0	0.0454293635181898	0	0.00780075029620375	0.210126428254874	0	0.127339953419483	0	0.690766266532176	0.741614289884703
TCGA-13-0730-01A	0.0571818255001087	0.548729566981319	0	0.180760347775804	0.00441460283467928	0	0.120388817695633	0	0.0885248392124565	0	0.422569876669101	0.910051073481416
TCGA-13-1488-01A	0.0579130676377684	0.487714223319209	0	0.0245305384760586	0.0191561426314	0	0.0433986043711332	0.0227900658580185	0.344497357706413	0	0.599087856361745	0.820805455763557
TCGA-59-2355-01A	0.0479959248641399	0.618442281553002	0	0.0965642503175961	0.0117754562904884	0.009057060688564	0.0568203714687681	0	0.159344654817441	0	0.477455927353558	0.881058008425309
TCGA-30-1866-01A	0.0393530906010614	0.811312219174474	0	0.0236850571942283	0.00726317161242381	0	0.000254139378991422	0	0.118132322038821	0	0.501010670793623	0.87060191848685
TCGA-24-1418-01A	0.0426321647072043	0.622321133240657	0	0.074378949009804	0	0	0.175833129529883	0	0.0848346235124516	0	0.679656254663296	0.754716177398545
TCGA-30-1862-01A	0.0372190853856956	0.570139674615404	0	0.0806741059797268	0	0	0.215952396512389	0	0.0960147375067849	0	0.519035876708295	0.855352237579837
TCGA-61-2000-01A	0.0766994965345964	0.52406441490189	0	0.0523934306808473	0.0186625684702787	0	0.0700258885585899	0.0304146086746201	0.227739592179178	0	0.494221768278966	0.872566044668677
TCGA-09-2051-01A	0.0670653162913103	0.640440398568501	0	0.0357230693861663	0.0139284071816696	0.00504460041102585	0.0139216463827164	0.0592026653664773	0.164673896412134	0	0.586358842886852	0.828653126571939
TCGA-24-1551-01A	0.160013692548855	0.591357067331278	0	0.0324946709885516	0.0144952083654788	0.00116393707727388	0.0060832661825304	0.00446724251746899	0.189924914988564	0	0.607141103822265	0.816295215619732
TCGA-30-1853-01A	0.00350744768532915	0.945210345900784	0	0.0213141686871139	0.0150825877739226	0.00630892772823842	0.0022174965736056	0	0.00635902565100667	0	0.362834382644769	0.934945798797074
TCGA-09-1662-01A	0.0920971361542783	0.721112085759283	0	0.0603785672435435	0.01822494280337	0	0.0362039892610148	0.0235196815984096	0.0484635971801003	0	0.584650531343371	0.829492544442661
TCGA-24-1431-01A	0.0397546918976454	0.78659877404103	0	0.0070802952361268	0.000575902355529076	0	0.0257697678088767	0.0118319500012606	0.128388618659532	0	0.37790282470011	0.927285325677647
