LncRNA name	MiRNA name	Gene name	Pubmed ID	Experimental method
CASC2	miR-18a	PIAS3	27198161	qPCR, Flow cytometry assay, Cell proliferation assay etc.
CCAT1	miR-155	c-Myc	26923190	qPCR, Western blot, Luciferase reporter assay, Flow cytometry assay etc.
CCAT1	miR-490	hnRNPA1	26825578	qPCR, Western blot, Luciferase reporter assay etc.
CCAT1	miR-218-5p	Bmi1	25569100	qPCR, Western blot, Luciferase reporter assay etc.
CRNDE	miR-384	PIWIL4	27049681	qPCR, Western blot, Luciferase reporter assay etc.
CRNDE	miR-186	XIAP	26231038	qPCR, Cell proliferation assay, Cell migration and invasion assay etc.
CRNDE	miR-186	PAK7	26231038	qPCR, Cell proliferation assay, Cell migration and invasion assay etc.
DQ192290	miR-23b	DRD5	25765901	microarray, qPCR, RNAi etc.
DQ192290	miR-23b	GDF5	25765901	microarray, qPCR, RNAi etc.
EWSAT1	miR-326	cyclin D1	27816050	qPCR, Cell transfection, Western blot, Luciferase reporter assay, RNA pull-down assay etc.
EWSAT1	miR-330-5p	cyclin D1	27816050	qPCR, Cell transfection, Western blot, Luciferase reporter assay, RNA pull-down assay etc.
FER1L4	miR-106a-5p	PTEN	26306906	qPCR, RNAi, Western blot etc.
FER1L4	miR-106a-5p	RB1	25124853	microarray, qPCR, RNAi etc.
FTX	miR-374a	MCM2	27065331	RIP etc.
GAS5	miR-21	PTEN	27034004	microarray, qPCR etc.
GAS5	miR-23a	MT2A	27827524	qPCR, Western blot, Luciferase reporter assay etc.
GAS5	miR-222	BMF	26370254	qPCR, Lentiviral infection, Western blot, Luciferase reporter assay, Flow cytometry assay, Cell proliferation assay etc.
GAS5	miR-103	PTEN	26511107	qPCR, RNAi, Western blot, Luciferase reporter assay, Flow cytometry assay etc.
GIHCG	miR-200b	EZH2	27380494	qPCR, RNAi, Western blot, Northern blot, RIP, ChIP, RNA pull-down assay, Cell proliferation assay etc.
GIHCG	miR-200a	EZH2	27380494	qPCR, RNAi, Western blot, Northern blot, RIP, ChIP, RNA pull-down assay, Cell proliferation assay etc.
GIHCG	miR-429	EZH2	27380494	qPCR, RNAi, Western blot, Northern blot, RIP, ChIP, RNA pull-down assay, Cell proliferation assay etc.
GIHCG	miR-200b	DNMT1	27380494	qPCR, RNAi, Western blot, Northern blot, RIP, ChIP, RNA pull-down assay, Cell proliferation assay etc.
GIHCG	miR-200a	DNMT1	27380494	qPCR, RNAi, Western blot, Northern blot, RIP, ChIP, RNA pull-down assay, Cell proliferation assay etc.
GIHCG	miR-429	DNMT1	27380494	qPCR, RNAi, Western blot, Northern blot, RIP, ChIP, RNA pull-down assay, Cell proliferation assay etc.
H19	miR-630	EZH2	27040767	qPCR, Western blot, RIP etc.
H19	miR-675	RUNX1	26931432	qPCR, Western blot etc.
H19	miR-342-3p	FOXM1	27716361	qPCR, RNAi, Western blot, Luciferase reporter assay etc.
H19	miR-194-5p	AKT2	26803515	qPCR, RNAi, Western blot, Cell proliferation assay etc.
H19	miR-148a-3p	DNMT1	26872375	qPCR, Western blot, Luciferase reporter assay etc.
H19	miR-140	iASPP(apoptosis-stimulating protein of p53)	27693036	qPCR, Western blot, Luciferase reporter assay, MTT assay etc.
H19	miR-17-5p	YES1	27093644	qPCR, Luciferase reporter assay etc.
H19	miR-372	CXCR4	27809873	qPCR, Western blot, RIP, Luciferase reporter assay
